,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,Volatility,mr,Daily Return,list,combina-Open,combina-High,combina-Low,combina-Close,combina-Adj_Close,combina-Volume,beta,future-MD,future-Volatility,change,z_future-Volatility,z_change,z_beta,z_future-MD,scaled_future-Volatility,scaled_change,scaled_beta,scaled_future-MD,risk,label-risk
110,115,115,2015-05-08,11.11,11.25,10.83,11.25,11.25,136400,0.0131096350080924,0.7199999999999989,0.0089686098654708,[],"[11.11, 11.4]","[11.25, 11.42]","[10.83, 11.15]","[11.25, 11.15]","[11.25, 11.15]","[136400, 348000]",2.3293379571400323,0.0339588918677391,0.0133221719595711,0.0129835476677018,-0.4245633075516955,-0.1351360886583763,0.2209463850570625,-0.313424199872873,0.0563939305843543,0.0389986627445468,0.6080342400567602,0.0239849515988926,0.1818529462461385,0.0
82,87,87,2015-03-30,9.78,9.799,9.78,9.799,9.799,900,0.0008261280225022,0.0489999999999994,0.0019427402862985,[],"[9.78, 9.79]","[9.799, 9.79]","[9.78, 9.78]","[9.799, 9.78]","[9.799, 9.78]","[900, 2400]",0.3921235553117637,0.0132653061224488,0.0052960648119082,0.0006866368917954,-0.7405747404946061,-0.5284992902117908,-0.1619452410475004,-0.4971992895480299,0.0224187101231958,0.0020208794310148,0.5849626867632037,0.0093692022263449,0.1546928696359398,0.0
51,56,56,2015-02-12,9.68,9.78,9.66,9.73,9.73,3400,0.0016882224161503,0.0500000000000007,0.0041279669762643,[],"[9.68, 9.69]","[9.78, 9.69]","[9.66, 9.69]","[9.73, 9.69]","[9.73, 9.69]","[3400, 0]",-0.1364807275196795,0.0020554984583761,0.0008221993833504,0.0004523159458331,-0.9167239743462846,-0.5359949319363246,-0.2664242048772923,-0.5967510750173548,0.0034804426103995,0.0013162578131535,0.5786671926397664,0.0014517856244474,0.1462289196719417,0.0
218,223,223,2015-10-12,8.3,8.4,8.16,8.3,8.3,61800,0.0041700625643768,0.1999999999999993,-0.0024038461538461,[],"[8.3, 8.42]","[8.4, 8.5]","[8.16, 8.2]","[8.3, 8.32]","[8.3, 8.32]","[61800, 207800]",0.1342042662620482,0.0303413400758533,0.0125389278520799,0.0146128790980536,-0.455401930585087,-0.0830157602673991,-0.2129231482397952,-0.3455508652628789,0.0530783890973875,0.0438981912257588,0.5818909572648422,0.0214298975360921,0.1750743587810202,0.0
568,573,573,2017-03-03,2.79,2.81,2.7,2.76,2.76,151500,0.0217634653885806,0.1200000000000001,0.0072992700729925,[],"[2.79, 2.72]","[2.81, 2.76]","[2.7, 2.7]","[2.76, 2.74]","[2.76, 2.74]","[151500, 37900]",5.11966141668078,0.084870848708487,0.0242521063849924,0.0051848695890072,0.0057803417671638,-0.3846063038062632,0.7724555446900694,0.1387134600334382,0.1026613083925145,0.0155474209342065,0.6412660270712996,0.0599437462906097,0.2048546256721576,1.0
448,453,453,2016-09-09,5.96,6.01,5.66,5.75,5.75,140200,0.0273333926737452,0.3399999999999998,-0.0480132450331125,[],"[5.96, 6.1]","[6.01, 6.29]","[5.66, 5.94]","[5.75, 6.04]","[5.75, 6.04]","[140200, 71100]",1.7058104629803983,0.052539404553415,0.0234606789635426,0.0018675591659662,-0.0253804823934618,-0.4907230246912071,0.0977057897288588,-0.1484148376941786,0.0993111262147706,0.0055720061131707,0.600608243327681,0.0371082507684959,0.1856499066060296,0.0
506,511,511,2016-12-01,2.8,2.97,2.77,2.86,2.86,250600,0.0356324984968107,0.3200000000000003,0.0214285714285713,[],"[2.8, 2.89]","[2.97, 2.93]","[2.77, 2.79]","[2.86, 2.8]","[2.86, 2.8]","[250600, 211100]",-2.079760673539963,0.1178571428571429,0.0439574074441861,0.0091736254803764,0.7816359726131225,-0.2570108600206366,-0.65051468954738,0.4316573335523141,0.1860755882448029,0.0275419253857323,0.5555234008134237,0.0832417582417582,0.2130956681714293,1.0
326,331,331,2016-03-17,5.69,5.87,5.47,5.82,5.82,86300,0.021760829032994,0.6500000000000004,0.0228471001757468,[],"[5.69, 5.64]","[5.87, 5.94]","[5.47, 5.64]","[5.82, 5.69]","[5.82, 5.69]","[86300, 266100]",-4.77194416560672,0.1266666666666666,0.0371288926221667,0.026214675595238,0.5127772701216404,0.288111581962768,-1.1826264238378426,0.5098927369288948,0.1571698818753143,0.0787857109238886,0.5234604268572981,0.0894638694638694,0.2122199722800926,1.0
535,540,540,2017-01-13,2.74,2.8,2.69,2.78,2.78,76600,0.0070255161265918,0.1099999999999998,0.0145985401459851,[],"[2.74, 2.74]","[2.8, 2.78]","[2.69, 2.65]","[2.78, 2.74]","[2.78, 2.74]","[76600, 54200]",-3.720792966740188,0.0258302583025829,0.0151548976113302,0.035272895660181,-0.352403510934444,0.5778730114839735,-0.9748657384764676,-0.385612769836542,0.0641520201435583,0.1060244951089402,0.5359792739613394,0.018243748871055,0.1810998845212232,0.0
18,23,23,2014-12-24,9.6,9.6,9.6,9.6,9.6,0,0.0019957736895821,0.0400000000000009,-0.004149377593361,[],"[9.6, 9.64]","[9.6, 9.64]","[9.6, 9.64]","[9.6, 9.64]","[9.6, 9.64]","[0, 0]",0.0884884248251525,0.0041666666666667,0.0026297675083926,0.001222011233939,-0.8455547035120613,-0.5113733169415133,-0.2219589126084637,-0.5780022640778952,0.0111320381369748,0.0036307924226745,0.5813464974099724,0.0029428904428904,0.149763054603128,0.0
