,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,Volatility,mr,Daily Return,list,combina-Open,combina-High,combina-Low,combina-Close,combina-Adj_Close,combina-Volume,beta,future-MD,future-Volatility,change,z_future-Volatility,z_change,z_beta,z_future-MD,scaled_future-Volatility,scaled_change,scaled_beta,scaled_future-MD,risk,label-risk
0,336,336,2014-01-07,60.209999,60.240002,59.650002,59.759998,51.296177,255300,0.0081376657562331,2.360000999999997,-0.0066489694148934,['my kiss portfolio : 4th quarter update and year end review URL $afl $ahgp $apd $arlp $ava $ba $bax $bbl $bdx $bip $bpl'],"[60.209999, 60.560001]","[60.240002, 60.560001]","[59.650002, 59.900002]","[59.759998, 60.16]","[51.296177, 51.639526]","[255300, 297500]",0.6132888132591913,0.0173034438462128,0.0095594953373239,0.0049683508805633,-0.7807651599385623,-0.3954175736968788,-0.5225201906361668,-0.945127566827548,0.121337372372816,0.0426066318474578,0.3294297578626656,0.0513687449840926,0.136185626766758,0.0
1,337,337,2014-01-08,60.080002,60.080002,59.34,59.380001,50.969997,1979200,0.0043162606415811,1.4599990000000034,-0.0063587184189665,['my kiss portfolio : 4th quarter update and year end review URL $afl $ahgp $apd $arlp $ava $ba $bax $bbl $bdx $bip $bpl'],"[60.080002, 60.209999]","[60.080002, 60.240002]","[59.34, 59.650002]","[59.380001, 59.759998]","[50.969997, 51.296177]","[1979200, 255300]",0.6714835234910643,0.010793233009992,0.0099877895524654,0.0076242897075884,-0.7355117344622423,-0.1382038580513279,-0.493442301161864,-1.1506150988547483,0.1282100706904166,0.065452933646646,0.3324445792525214,0.023610532775002,0.1374295290911465,0.0
2,341,341,2014-01-14,58.560001,58.669998,58.290001,58.450001,50.171711,533600,0.0106640315461403,1.010002,0.001370601359784,['$bbl asian stocks join us sell-off ; nikkei drops over 2 % URL'],"[58.560001, 58.400002]","[58.669998, 58.98]","[58.290001, 58.279999]","[58.450001, 58.369999]","[50.171711, 50.103043]","[533600, 483300]",-2.7244737847364933,0.0519857355372673,0.0185531082526496,0.0046250525546609,0.1694970136751944,-0.4286642121667713,-2.190285036088101,0.1495802243535109,0.2656549610002711,0.0396535905044434,0.1565144183996154,0.1992469684206674,0.1652674845812493,0.0
3,342,342,2014-01-15,58.299999,58.779999,58.209999,58.669998,50.360546,422900,0.0076925187060132,0.630001,0.0037638493795748,"['$bbl - australias fortescue speeds up debt repayments -> URL stock stocks stockaction', '$bbl asian stocks join us sell-off ; nikkei drops over 2 % URL']","[58.299999, 58.560001]","[58.779999, 58.669998]","[58.209999, 58.290001]","[58.669998, 58.450001]","[50.360546, 50.171711]","[422900, 533600]",-0.1450348302582294,0.024398356846473,0.0194222719385287,0.0033005875881217,0.261332561985504,-0.5569316827197324,-0.9014283595073832,-0.7211845642046877,0.2796021486821951,0.0282605847468901,0.2901442226000881,0.0816200080569462,0.1699067410215299,0.0
4,343,343,2014-01-16,60.900002,61.130001,60.669998,61.110001,52.454975,792300,0.0192541468225988,2.740001999999997,0.0415885986565058,['$bbl - australias fortescue speeds up debt repayments -> URL stock stocks stockaction'],"[60.900002, 58.299999]","[61.130001, 58.779999]","[60.669998, 58.209999]","[61.110001, 58.669998]","[52.454975, 50.360546]","[792300, 422900]",1.029142835333131,0.0575736796166265,0.0132707142608264,0.0087826561178154,-0.3886389928234106,-0.0260221596546014,-0.3147322792756697,0.3259574365299592,0.1808900983963892,0.0754171648754695,0.3509733929423955,0.2230728231386732,0.2075883698382319,1.0
5,345,345,2014-01-21,61.279999,61.279999,60.73,61.02,52.377724,555100,0.0189756450365972,3.270000000000003,-0.0113415584682183,"['$bbl broker tips : bhp billiton , sabmiller , african barrick , bookmakers URL', '$bbl - broker tips : bhp billiton , sabmiller , african barrick , bookmakers -> URL stock stocks stockaction']","[61.279999, 61.919998]","[61.279999, 62.110001]","[60.73, 61.610001]","[61.02, 61.720001]","[52.377724, 52.978584]","[555100, 631200]",1.5457191761448583,0.0392392213975459,0.0162812325243247,0.0123650224813617,-0.070548626281078,0.3209111935519845,-0.0566168993156506,-0.252749254432102,0.2291989082592889,0.1062325670466528,0.3777350246365366,0.1448984298989942,0.2145162324603681,1.0
6,346,346,2014-01-22,60.720001,60.84,60.450001,60.650002,52.060127,506500,0.0203141509925863,3.050003000000004,-0.0060635529334645,"['$bbl broker tips : bhp billiton , sabmiller , african barrick , bookmakers URL', '$bbl - broker tips : bhp billiton , sabmiller , african barrick , bookmakers -> URL stock stocks stockaction']","[60.720001, 61.279999]","[60.84, 61.279999]","[60.450001, 60.73]","[60.650002, 61.02]","[52.060127, 52.377724]","[506500, 555100]",1.81304936520016,0.0323851776493287,0.0166502849859111,0.0077980779180588,-0.03155466494136,-0.1213733833070915,0.0769587755098086,-0.4690894882063443,0.2351209733775703,0.0669478543372686,0.3915842691624886,0.1156741842271216,0.2023318202761123,1.0
7,350,350,2014-01-28,59.619999,59.889999,59.509998,59.84,51.364849,476200,0.0183156834819554,2.290001000000004,0.01526978308907,['$bbl smiths group plc ( adr ) rating lowered to neutral at bnp paribas ( smgzy ) URL'],"[59.619999, 59.639999]","[59.889999, 59.689999]","[59.509998, 58.560001]","[59.84, 58.939999]","[51.364849, 50.592316]","[476200, 680100]",1.2132844436826964,0.0433263262289894,0.015180796566573,0.0051135951938012,-0.1868203265400387,-0.3813514253714101,-0.222723068921764,-0.123744356422177,0.2115405694629812,0.043856018836753,0.3605129895380783,0.1623250119385194,0.194558647444083,0.0
8,351,351,2014-01-29,58.779999,59.830002,58.759998,59.099998,50.729645,575600,0.0187433667516364,1.889999000000003,-0.0123663435828877,"['$bbl - what are bhp billiton plc ’ s dividend prospects like beyond 2014 ? -> URL stock stocks stockaction', '$bbl smiths group plc ( adr ) rating lowered to neutral at bnp paribas ( smgzy ) URL']","[58.779999, 59.619999]","[59.830002, 59.889999]","[58.759998, 59.509998]","[59.099998, 59.84]","[50.729645, 51.364849]","[575600, 476200]",1.2330155082445051,0.0433263262289894,0.0149565083110943,0.0093719960047981,-0.210518549620558,0.0310523107987486,-0.2128641365161797,-0.123744356422177,0.207941488593825,0.0804866479461272,0.3615351724005507,0.1623250119385194,0.2030720802197556,1.0
9,352,352,2014-01-30,59.650002,59.93,59.200001,59.720001,51.261841,601200,0.0107067261763226,1.4799990000000065,0.0104907448558628,['$bbl - what are bhp billiton plc ’ s dividend prospects like beyond 2014 ? -> URL stock stocks stockaction'],"[59.650002, 58.779999]","[59.93, 59.830002]","[59.200001, 58.759998]","[59.720001, 59.099998]","[51.261841, 50.729645]","[601200, 575600]",1.338907451032541,0.0300488633805429,0.0165670677733157,0.0036935918095894,-0.0403473681705848,-0.5188712895210983,-0.1599535850873443,-0.5428326380382501,0.2337856137654615,0.0316411946316679,0.3670209853354162,0.1057126163314605,0.1845401025160015,0.0
