,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,Volatility,mr,Daily Return,list,combina-Open,combina-High,combina-Low,combina-Close,combina-Adj_Close,combina-Volume,beta,future-MD,future-Volatility,change,z_future-Volatility,z_change,z_beta,z_future-MD,scaled_future-Volatility,scaled_change,scaled_beta,scaled_future-MD,risk,label-risk
924,929,929,2016-05-16,60.960579,61.283382,60.39323,60.432358,58.192062,37900,0.0041838432948299,1.6824799999999982,-0.0029051237803821,[],"[60.960579, 60.843197]","[61.283382, 60.90189]","[60.39323, 60.412796]","[60.432358, 60.608433]","[58.192062, 58.36161]","[37900, 33400]",0.0200732090833001,0.0176393437406825,0.0036957975350113,0.0050489731889186,-1.3146360130408417,0.0525338540983558,-0.480035455531256,-0.544282575637818,0.0996679529365338,0.1599508098242028,0.6177487304820551,0.1774066666619783,0.2636935399761925,1.0
1161,1166,1166,2017-04-25,75.510002,76.220001,74.129997,74.57,74.57,42100,0.0068783114944241,0.7800060000000002,-0.0096945945672806,[],"[75.510002, 75.379997]","[76.220001, 75.529999]","[74.129997, 74.629997]","[74.57, 75.300003]","[74.57, 75.300003]","[42100, 49200]",3.482046944587802,0.0141940909319266,0.0086174883709881,0.006207571544975,-0.2318937568118894,0.3050988203160829,2.3721549871585,-0.7992580124909872,0.2803182567183501,0.1967936472572638,0.8548082767514146,0.1361103717294717,0.367007638114125,1.0
1112,1117,1117,2017-02-13,72.220001,72.410004,71.639999,71.779999,69.119034,16700,0.0083181141996169,0.9199979999999924,-0.01265471854146,[],"[72.220001, 72.779999]","[72.410004, 72.790001]","[71.639999, 71.129997]","[71.779999, 72.699997]","[69.119034, 70.004929]","[16700, 91100]",3.135330214614478,0.0156901561659325,0.0081376587136028,0.0064338916007484,-0.337453383199883,0.3544347415540208,2.086508064592679,-0.6885375783817582,0.2627061440808493,0.2039905097239794,0.831066759059197,0.1540428587111997,0.3629515678938064,1.0
1006,1011,1011,2016-09-12,65.639999,66.660004,64.660004,66.410004,63.948112,20500,0.0088926900022535,1.6900029999999902,0.0040823254321489,[],"[65.639999, 66.769997]","[66.660004, 67.029999]","[64.660004, 66.139999]","[66.410004, 66.139999]","[63.948112, 63.688118]","[20500, 30900]",0.9658331157204776,0.017013443201779,0.0086630953371715,0.0020855430553672,-0.2218604997238561,-0.5934696790989321,0.2991406945144396,-0.5906040713863934,0.2819922570914279,0.0657152414031533,0.6825098845161972,0.16990435124777,0.3000304335646371,1.0
1031,1036,1036,2016-10-17,66.809998,66.809998,66.0,66.470001,64.005882,23500,0.0055265048556719,0.5900040000000075,-0.00479113632593,[],"[66.809998, 66.519997]","[66.809998, 66.919998]","[66.0, 66.209999]","[66.470001, 66.790001]","[64.005882, 64.314018]","[23500, 27400]",2.066314397757763,0.0221369533017428,0.0065594017826208,0.0034935613356749,-0.6846603751281523,-0.2865332092334896,1.2057859884390367,-0.2114245747062553,0.2047763383434538,0.1104895053514696,0.757865624717867,0.2313169662059695,0.32611210865469,1.0
1134,1139,1139,2017-03-16,71.800003,72.860001,71.550003,72.800003,72.800003,87700,0.0188911196997329,2.2000050000000044,0.0152001675526449,[],"[71.800003, 69.809998]","[72.860001, 71.769997]","[71.550003, 69.480003]","[72.800003, 71.709999]","[72.800003, 71.709999]","[87700, 70000]",-1.360677339286012,0.0316562738367361,0.0153732959391544,0.0114053120420815,1.254343102182781,1.438163739835363,-1.6175840964725474,0.4930789977998605,0.5282896816115022,0.3620791468897269,0.5232014798340374,0.3454196722167093,0.439747495137994,2.0
605,610,610,2015-02-09,66.653625,67.719849,66.614494,67.543777,58.985626,20700,0.0088632630057306,1.115135000000009,0.0068534053182827,[],"[66.653625, 68.208939]","[67.719849, 68.238289]","[66.614494, 66.761223]","[67.543777, 67.084023]","[58.985626, 58.584126]","[20700, 36100]",0.2587368837801864,0.0300264746215223,0.0097760938632259,0.0033201146833355,0.0229924533447547,-0.3243431609390881,-0.2834093965272359,0.3724612115445314,0.3228447869518364,0.1049739901757015,0.6340912872884189,0.3258841917140344,0.3469485640324977,1.0
705,710,710,2015-07-02,63.777756,65.098305,63.777756,64.736382,59.458572,44800,0.019317316177517,2.083539000000009,0.0162776942318592,[],"[63.777756, 64.247284]","[65.098305, 64.247284]","[63.777756, 63.386482]","[64.736382, 63.699501]","[59.458572, 58.506229]","[44800, 28300]",1.0070161955024517,0.0338875705022781,0.0171398585043505,0.0032194833465877,1.6429761962463607,-0.3462799693535786,0.3330698908425449,0.6582122619248327,0.5931312319420247,0.1017739649373691,0.6853299065478394,0.3721649621263385,0.4381000163883929,2.0
552,557,557,2014-11-20,73.050964,73.862862,73.050964,73.65744,64.324661,27400,0.0027904868681827,0.4206239999999894,0.0014630216369619,[],"[73.050964, 72.874893]","[73.862862, 73.588966]","[73.050964, 72.874893]","[73.65744, 73.549835]","[64.324661, 64.230682]","[27400, 47800]",3.925844118104621,0.0467263362925782,0.0114191611970601,0.0018812880692243,0.3844573424368083,-0.6379955956128966,2.737782849616254,1.6083805362870836,0.3831534538070184,0.0592200369088456,0.8851974029052528,0.5260559791507365,0.4634067181929633,2.0
890,895,895,2016-03-29,61.801819,62.682186,61.420326,62.652843,60.330235,58600,0.0132303205574409,1.379242000000005,0.0120082371955674,[],"[61.801819, 61.479019]","[62.682186, 62.16375]","[61.420326, 61.479019]","[62.652843, 61.90942]","[60.330235, 59.614368]","[58600, 49500]",0.953186768985174,0.0216737789106837,0.0084753960503787,0.0018779860385536,-0.2631532090889021,-0.6387154112940044,0.2887218432899321,-0.2457030730502245,0.2751027684362511,0.0591150340158554,0.681643922655109,0.2257651570006335,0.3104067205269623,1.0
