,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,Volatility,mr,Daily Return,list,combina-Open,combina-High,combina-Low,combina-Close,combina-Adj_Close,combina-Volume,beta,future-MD,future-Volatility,change,z_future-Volatility,z_change,z_beta,z_future-MD,scaled_future-Volatility,scaled_change,scaled_beta,scaled_future-MD,risk,label-risk
0,333,333,2014-01-02,83.740997,83.796997,83.010002,83.414001,81.205017,7214000,0.0035245890010265,1.3559959999999904,-0.0015799320513233,['trade signals generated from the twitter stream had a 75.8 % win rate in 2013 . still open are $goog $ma $bidu $yelp URL'],"[83.740997, 83.936996]","[83.796997, 83.938004]","[83.010002, 83.061996]","[83.414001, 83.545998]","[81.205017, 81.333511]","[7214000, 6759000]",2.070685980989463,0.0204550922408047,0.0069008185977685,0.0049404653981715,-0.5659263394816179,0.2550027370029353,0.8527513809396329,-0.3241252578066531,0.158302299217072,0.0812986459200731,0.500532478855875,0.1383095112901194,0.2196107338207849,1.0
1,334,334,2014-01-03,83.414001,83.580002,82.599998,83.081001,80.880836,6438000,0.0040249430144838,0.7589949999999988,-0.0039921355648675,['trade signals generated from the twitter stream had a 75.8 % win rate in 2013 . still open are $goog $ma $bidu $yelp URL'],"[83.414001, 83.740997]","[83.580002, 83.796997]","[82.599998, 83.010002]","[83.081001, 83.414001]","[80.880836, 81.205017]","[6438000, 7214000]",1.485858762962078,0.0204550922408047,0.0084043269460441,0.0021923798505219,-0.2973041416837946,-0.3405284923618838,0.2468418255266945,-0.3241252578066531,0.2007577219129577,0.0359769092154526,0.4364784886517757,0.1383095112901194,0.2028806577675763,1.0
2,336,336,2014-01-07,83.100998,83.918999,83.099998,83.709,81.600784,7635000,0.0070455949400286,1.0400010000000035,0.0125803023210673,['$fslr $aapl $mu $c $ma $yoku $sd $mrk $v active equity options trading on open : full story URL'],"[83.100998, 83.195999]","[83.918999, 83.388]","[83.099998, 82.466003]","[83.709, 82.668999]","[81.600784, 80.479744]","[7635000, 7022000]",1.8192604105176573,0.0414814938271604,0.0154908108178528,0.0011174362339375,0.9687925012030488,-0.5734770241242574,0.5922622126381624,0.96777345415314,0.4008628084928064,0.0182488178884491,0.4729947539832495,0.3035891308365802,0.2989238778002713,1.0
3,337,337,2014-01-08,83.732002,84.401001,83.600998,83.683998,81.576408,6936000,0.0069729783430924,1.0400010000000035,-0.0002986775615525,"[""“ AT_USER $ma 10 for 1 split tomorrow ” are you sure ? i believe it's on jan 22"", '$fslr $aapl $mu $c $ma $yoku $sd $mrk $v active equity options trading on open : full story URL']","[83.732002, 83.100998]","[84.401001, 83.918999]","[83.600998, 83.099998]","[83.683998, 83.709]","[81.576408, 81.600784]","[6936000, 7635000]",1.7909762445988189,0.0414814938271604,0.0156163331339098,0.0013845676265699,0.9912187687063694,-0.5155876011430941,0.5629584356099415,0.96777345415314,0.4044072537179217,0.0226543789354038,0.4698968925451187,0.3035891308365802,0.3001369140087561,1.0
4,338,338,2014-01-09,84.0,84.424004,83.625,84.360001,82.235382,7025000,0.0068462020346412,1.6910019999999977,0.0080780437856231,"[""“ AT_USER $ma 10 for 1 split tomorrow ” are you sure ? i believe it's on jan 22""]","[84.0, 83.732002]","[84.424004, 84.401001]","[83.625, 83.600998]","[84.360001, 83.683998]","[82.235382, 81.576408]","[7025000, 6936000]",1.7378475198767558,0.0305678765432099,0.0149701379226579,0.0014175592673458,0.8757672129820538,-0.5084380593805248,0.5079144824837821,0.2972218120163803,0.3861602710063049,0.0231984807949611,0.4640778972795051,0.2178018169607944,0.2728096165103914,1.0
5,340,340,2014-01-13,83.545998,83.800003,80.763,81.0,78.960022,12354000,0.014246430971252,3.360000999999997,-0.0296611967430446,"['$ma clifford chance forms indonesian pairing : business of law URL', '$ma watch 20ema , near now , after big down days , could reverse up .']","[83.545998, 84.683998]","[83.800003, 84.748001]","[80.763, 83.160004]","[81.0, 83.475998]","[78.960022, 81.37365]","[12354000, 8211000]",1.2766928671448186,0.0086508146678667,0.007362476139446,0.0018077323406518,-0.483444946134131,-0.4238845598689442,0.0301357437378503,-1.0494006183795412,0.171338386509265,0.0296332591128091,0.4135693116697239,0.0455210948669287,0.1650155130396817,0.0
6,341,341,2014-01-14,81.281998,82.296997,80.414001,82.170998,80.101517,10869000,0.0173573156501965,3.360000999999997,0.0144567654320988,"['$ma clifford chance forms indonesian pairing : business of law URL', '$ma watch 20ema , near now , after big down days , could reverse up .']","[81.281998, 83.545998]","[82.296997, 83.800003]","[80.414001, 80.763]","[82.170998, 81.0]","[80.101517, 78.960022]","[10869000, 12354000]",0.8399723735979278,0.0178148132567087,0.0084937842298391,0.003486968564234,-0.2813213822866839,-0.0599811823051845,-0.4223280129546859,-0.4863485942515138,0.2032837782538476,0.0573274122497615,0.3657369103154626,0.1175553986952626,0.1859758748785835,0.0
7,345,345,2014-01-21,82.302002,82.655998,81.403,81.848,79.786652,10103000,0.004501937106881,0.7079999999999984,7.327533271639375e-05,['у меня открыт следующие позиции $twtr 68 call weeklies $1.10 $yelp 85 call weeklies $1.15 $ma 840 call weeklies $5.40 .'],"[82.302002, 82.5]","[82.655998, 83.402]","[81.403, 80.788002]","[81.848, 81.842003]","[79.786652, 79.780807]","[10103000, 13330000]",3.013589192612948,0.0953320146483097,0.0306572320274213,0.0012214131228244,3.678479748842475,-0.5509444342937461,1.829645150828204,4.276443185466143,0.829125693746867,0.0199636164635983,0.6038052254364153,0.7268852215701416,0.5449449393042556,2.0
8,346,346,2014-01-22,82.209999,83.900002,82.0,83.300003,81.202095,7220600,0.0094378811684993,1.4579999999999984,0.0177402380021503,"['$ma guthrie healthcare system v . contextmedia , inc . , 12 civ . 7992 URL', 'daha boyun bir kari $, adam olmaya çali $, pe $imde dola $ma , otur dersine çali $:) ) )', 'у меня открыт следующие позиции $twtr 68 call weeklies $1.10 $yelp 85 call weeklies $1.15 $ma 840 call weeklies $5.40 .']","[82.209999, 82.302002]","[83.900002, 82.655998]","[82.0, 81.403]","[83.300003, 81.848]","[81.202095, 79.786652]","[7220600, 10103000]",2.8355362633930783,0.082971699554042,0.0280513907452615,0.0021531264093252,3.212910792654842,-0.3490350143341216,1.6451736217029451,3.517003911745449,0.755543067325558,0.0353295370373235,0.5843037381039179,0.6297260301666723,0.501225593158368,2.0
9,347,347,2014-01-23,83.800003,83.809998,81.919998,82.360001,80.285751,6590300,0.0113014074202869,1.4579999999999984,-0.0112845374087202,"['$ma vendtek systems announces zuum contract award in brazil URL', 'largest open interest increases among single stock options for 1/23 include $ma , $bbry , $ebay , $vz , and $aa .', '$ma guthrie healthcare system v . contextmedia , inc . , 12 civ . 7992 URL', 'daha boyun bir kari $, adam olmaya çali $, pe $imde dola $ma , otur dersine çali $:) ) )']","[83.800003, 82.209999]","[83.809998, 83.900002]","[81.919998, 82.0]","[82.360001, 83.300003]","[80.285751, 81.202095]","[6590300, 7220600]",2.560544758398976,0.0487836798638916,0.0323708950893457,0.0042167924849878,3.9846489420544966,0.0981772626231761,1.3602689944947275,1.4164324744139092,0.8775153749453579,0.0693637506401102,0.5541849224535186,0.360988516321141,0.4655131410900319,2.0
