,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,Volatility,mr,Daily Return,list,combina-Open,combina-High,combina-Low,combina-Close,combina-Adj_Close,combina-Volume,beta,future-MD,future-Volatility,change,z_future-Volatility,z_change,z_beta,z_future-MD,scaled_future-Volatility,scaled_change,scaled_beta,scaled_future-MD,risk,label-risk
0,334,334,2014-01-03,49.490002,50.0,49.459999,49.73,44.585236,6435000,0.0063939970874495,0.5599970000000027,0.0048494239301102,['weekly dow stocks trend $dis $wmt $hd $gs $v $intc $ibm $utx $vz $unh $t $msft $axp $jpm $mrk $csco $ko $cvx @ URL'],"[49.490002, 49.880001]","[50.0, 50.040001]","[49.459999, 49.299999]","[49.73, 49.490002]","[44.585236, 44.370075]","[6435000, 7886500]",1.3785610792772451,0.0119143982229401,0.0059411832202559,0.0015794752167932,-0.616569290080914,-0.4861460725199127,0.4829575408156786,-0.735236986579501,0.1079844123475949,0.0282440794191478,0.3657749436552281,0.0589290598496697,0.1402331238179101,0.0
1,335,335,2014-01-06,49.810001,50.139999,49.509998,49.740002,44.594208,9931400,0.0061413058175289,0.5599970000000027,0.0002011260808365,"['fda opens adcomms with 3 - day crdac . read about it at us capitol capsule URL pharma biotech biopharma $mrk $chtp $jnj', 'weekly dow stocks trend $dis $wmt $hd $gs $v $intc $ibm $utx $vz $unh $t $msft $axp $jpm $mrk $csco $ko $cvx @ URL']","[49.810001, 49.490002]","[50.139999, 50.0]","[49.509998, 49.459999]","[49.740002, 49.73]","[44.594208, 44.585236]","[9931400, 6435000]",-3.549122033984148,0.0726978796445879,0.0263695196271158,0.0017969962573793,3.0865799944063297,-0.4505630105083517,-3.550725872752149,3.03721461324784,0.5736217436387507,0.0321467711420406,0.0703302448671183,0.4303601502053739,0.2766147274633209,1.0
2,336,336,2014-01-07,49.959999,50.400002,49.939999,50.110001,44.92593,9995800,0.0071521529606395,0.619999,0.0074386607382928,"['$fslr $aapl $mu $c $ma $yoku $sd $mrk $v active equity options trading on open : full story URL', 'fda opens adcomms with 3 - day crdac . read about it at us capitol capsule URL pharma biotech biopharma $mrk $chtp $jnj']","[49.959999, 49.810001]","[50.400002, 50.139999]","[49.939999, 49.509998]","[50.110001, 49.740002]","[44.92593, 44.594208]","[9995800, 9931400]",-2.9687558729495165,0.0726978796445879,0.027095885070485,0.001135023512928,3.218251982683635,-0.5588514645921775,-3.0756520289691984,3.03721461324784,0.5901782982135507,0.0202698715851532,0.1051267408455708,0.4303601502053739,0.2864837652124121,1.0
3,337,337,2014-01-08,50.099998,50.139999,49.599998,49.790001,44.63903,13695700,0.005250713879773,0.619999,-0.0063859507805636,"['$mrk this overvalued biotech is in danger of plummeting as much as 30 % URL', '$xncr is eligible for up to $1.3 b milestone paymts from partnerships w $mor $amgn $alxn $jnj $csl.ax $mrk bi [ wedbush ] URL', '$fslr $aapl $mu $c $ma $yoku $sd $mrk $v active equity options trading on open : full story URL']","[50.099998, 49.959999]","[50.139999, 50.400002]","[49.599998, 49.939999]","[49.790001, 50.110001]","[44.63903, 44.92593]","[13695700, 9995800]",-3.1349883783736603,0.0726978796445879,0.0274695394675465,0.000486265433718,3.285986231110205,-0.6649782047954691,-3.2117259778237144,3.03721461324784,0.5986952637073487,0.0086300652516111,0.0951600868694542,0.4303601502053739,0.283211391508447,1.0
4,338,338,2014-01-09,49.82,50.0,49.34,49.52,44.396965,9323900,0.0055022195363811,0.5900009999999938,-0.0054227956332033,"['$mrk bristol myers squibb co . ( bmy ): forxiga approval should be boon for ... URL', '$mrk this overvalued biotech is in danger of plummeting as much as 30 % URL', '$xncr is eligible for up to $1.3 b milestone paymts from partnerships w $mor $amgn $alxn $jnj $csl.ax $mrk bi [ wedbush ] URL']","[49.82, 50.099998]","[50.0, 50.139999]","[49.34, 49.599998]","[49.52, 49.790001]","[44.396965, 44.63903]","[9323900, 13695700]",-3.0258547466686965,0.0649558527474769,0.0269318604868926,0.0005436721128377,3.1885184053980886,-0.6555873641784414,-3.1223917998839767,2.556715288911492,0.5864395713858263,0.0096600372066715,0.1017033146309865,0.3830507591553742,0.2702134205947146,1.0
5,339,339,2014-01-10,49.830002,50.07,49.5,49.880001,44.71973,8143100,0.0066337709542737,0.5900009999999938,0.007269810177706,"['$mrk alnylam provides key 2014 goals for rnai therapeutics pipeline URL', '$mrk bristol myers squibb co . ( bmy ): forxiga approval should be boon for ... URL']","[49.830002, 49.82]","[50.07, 50.0]","[49.5, 49.34]","[49.880001, 49.52]","[44.71973, 44.396965]","[8143100, 9323900]",-2.610954801228643,0.0225216165058399,0.0284612082464946,0.0008656494429822,3.465751115341152,-0.6029168764225056,-2.7827646384482483,-0.0769131024396251,0.6212990623993995,0.0154368496838842,0.1265791003887703,0.1237468452135609,0.2217654644214037,1.0
6,340,340,2014-01-13,50.900002,53.439999,50.790001,53.119999,47.624538,37291300,0.0284297493733499,3.599998999999997,0.0649558527474769,"['rt AT_USER $alny acquires merck / sirna rnai assets for $25m cash + $150m stock + $115m milestone URL $mrk bot sirn …', '$mrk - merck rises most since 2009 on seeking early fda approval -> URL stock stocks stockaction', 'correction protection : better metric finds value URL $goog google $csco $msft $intc $orcl $fb $xom $cvx $sny $mrk', ""$lgnd getting a lit ' pop to new 4 + yr high w / squeezy 13 + dtc .. expecting to hear from partner $mrk re :p h3 mk - 8931 ( bace for alz ) @ jpm 14 ."", '$mrk alnylam provides key 2014 goals for rnai therapeutics pipeline URL']","[50.900002, 49.830002]","[53.439999, 50.07]","[50.790001, 49.5]","[53.119999, 49.880001]","[47.624538, 44.71973]","[37291300, 8143100]",0.226244497460203,0.0225737594993725,0.004061465793125,0.0087865798981994,-0.957315306138321,0.6928242565631713,-0.4603012232768525,-0.0736769120344175,0.0651387009338749,0.1575516062237234,0.2966865267261299,0.1240654766655482,0.1608605776373191,0.0
7,341,341,2014-01-14,52.529999,53.099998,52.169998,53.0,47.516949,21190700,0.02771231386752,3.599998999999997,-0.0022590173618037,"['mkm partners reiterated $mrk at buy with pt : $64 ( + 22 % from here ) ( b )', 'get more info on $anat $fcs $axl $mrk visit URL', 'rt AT_USER $bmy by not talking about $mrk specifically , $bmy talks about $mrk . jpm 14', 'AT_USER see msd ( merck ) spokesperson lie about patient safety information to the media URL $mrk msd', 'rt AT_USER $alny acquires merck / sirna rnai assets for $25m cash + $150m stock + $115m milestone URL $mrk bot sirn …', '$mrk - merck rises most since 2009 on seeking early fda approval -> URL stock stocks stockaction', 'correction protection : better metric finds value URL $goog google $csco $msft $intc $orcl $fb $xom $cvx $sny $mrk', ""$lgnd getting a lit ' pop to new 4 + yr high w / squeezy 13 + dtc .. expecting to hear from partner $mrk re :p h3 mk - 8931 ( bace for alz ) @ jpm 14 .""]","[52.529999, 50.900002]","[53.099998, 53.439999]","[52.169998, 50.790001]","[53.0, 53.119999]","[47.516949, 47.624538]","[21190700, 37291300]",0.0684893805980131,0.022784849962409,0.0041174083778912,0.0103748108438282,-0.94717430695839,0.952634158514336,-0.5894357848276888,-0.0605758435143981,0.0664138393179929,0.1860471289963554,0.2872281439705096,0.1253553922645816,0.1662611261373598,0.0
8,342,342,2014-01-15,52.650002,52.900002,52.349998,52.52,47.086605,10488000,0.0284433121962632,3.599998999999997,-0.0090566037735848,"[""rt AT_USER $mrk's bloomfield at fda crdac : vorapaxar should be prescribed to appropriate post-mi patients at risk for 2ndary athe …"", 'rt AT_USER viewpoints : with something to prove , merck & co . comes out fighting in cancer immunotherapy race URL $mrk', 'AT_USER AT_USER lousy data . $mrk pi + ns5a combo better , no interest . $vrtx shudve given up on hcv for cf focus once fda scrutiny came', '$mrk 3 of the safest dividend stocks for retirees URL', 'mkm partners reiterated $mrk at buy with pt : $64 ( + 22 % from here ) ( b )', 'get more info on $anat $fcs $axl $mrk visit URL', 'rt AT_USER $bmy by not talking about $mrk specifically , $bmy talks about $mrk . jpm 14', 'AT_USER see msd ( merck ) spokesperson lie about patient safety information to the media URL $mrk msd']","[52.650002, 52.529999]","[52.900002, 53.099998]","[52.349998, 52.169998]","[52.52, 53.0]","[47.086605, 47.516949]","[10488000, 21190700]",-0.6380898353118373,0.0223953660134514,0.0057102561684916,0.0132498805399961,-0.6584306208069222,1.4229508828672994,-1.1678246134268906,-0.0847486831080986,0.1027207308629707,0.2376306938585931,0.2448644044977698,0.1229753632755569,0.1770477981237226,0.0
9,343,343,2014-01-16,52.150002,52.98,52.099998,52.5,47.068668,7769600,0.0291266859524026,3.239998,-0.0003808073115004,"['$mrk merck & co , inc . : big pharma checkup for 2014 URL', '$mrk : merck provides statement on fda advisory committee for vorapaxar URL', ""rt AT_USER $mrk's bloomfield at fda crdac : vorapaxar should be prescribed to appropriate post-mi patients at risk for 2ndary athe …"", 'rt AT_USER viewpoints : with something to prove , merck & co . comes out fighting in cancer immunotherapy race URL $mrk', 'AT_USER AT_USER lousy data . $mrk pi + ns5a combo better , no interest . $vrtx shudve given up on hcv for cf focus once fda scrutiny came', '$mrk 3 of the safest dividend stocks for retirees URL']","[52.150002, 52.650002]","[52.98, 52.900002]","[52.099998, 52.349998]","[52.5, 52.52]","[47.068668, 47.086605]","[7769600, 10488000]",-0.641793475088058,0.0122687833405562,0.007204541659588,0.0131402551499209,-0.3875538280537387,1.4050178726050422,-1.1708563242718852,-0.7132425125441635,0.1367810231160184,0.2356638307849676,0.2446423486729624,0.061094609560929,0.1695454530337193,0.0
10,344,344,2014-01-17,52.619999,52.650002,51.720001,51.950001,46.575581,16758800,0.0043282294976786,1.1699979999999996,-0.0104761714285713,"['$mrk merck & co , inc . : big pharma checkup for 2014 URL', '$mrk : merck provides statement on fda advisory committee for vorapaxar URL']","[52.619999, 52.150002]","[52.650002, 52.98]","[51.720001, 52.099998]","[51.950001, 52.5]","[46.575581, 47.068668]","[16758800, 7769600]",-0.5413843284786313,0.0229795724626902,0.0071514665586844,0.0061507867126564,-0.3971750237311925,0.2616494510449776,-1.0886638009420149,-0.048490632359537,0.1355712452931673,0.110261062647989,0.2506624902676517,0.1265452877576436,0.1557600214916129,0.0
11,345,345,2014-01-21,52.029999,52.25,51.709999,51.830002,46.467983,11035500,0.0043185364491744,1.1699979999999996,-0.0023098940845063,"['rt AT_USER bullish set-ups for tuesday URL $atml $bbry $ctic $mrk $ontx $rvm $stml $stxs', 'find the next hot pennystock $manh $ati $chl $mrk check out URL']","[52.029999, 52.619999]","[52.25, 52.650002]","[51.709999, 51.720001]","[51.830002, 51.950001]","[46.467983, 46.575581]","[11035500, 16758800]",-0.2431140595614131,0.0296007995949678,0.0068898926475463,0.0058342899432041,-0.4445918677942416,0.2098754978515981,-0.8445069002569977,0.3624476407332728,0.1296090085504419,0.1045825806071912,0.2685456145944861,0.1670057805710539,0.1674357460807933,0.0
12,346,346,2014-01-22,51.77,51.98,51.279999,51.349998,46.03764,10653600,0.0043612767088714,1.1700020000000038,-0.009261122544429,"['couple of stocks to watch $hrg $idsa $airm $mrk check out URL', 'rt AT_USER bullish set-ups for tuesday URL $atml $bbry $ctic $mrk $ontx $rvm $stml $stxs', 'find the next hot pennystock $manh $ati $chl $mrk check out URL']","[51.77, 52.029999]","[51.98, 52.25]","[51.279999, 51.709999]","[51.349998, 51.830002]","[46.03764, 46.467983]","[10653600, 11035500]",0.1277031747500216,0.02461242343459,0.0081382523725302,0.0067338895362987,-0.218295299621199,0.3570360117053821,-0.5409647906838926,0.0528502437658839,0.1580637431531904,0.1207229037521533,0.2907783725820573,0.1365231896924464,0.1765220522949619,0.0
13,347,347,2014-01-23,51.209999,51.75,50.860001,51.599998,46.261776,15877800,0.0061576603826017,1.1500020000000006,0.0048685493619688,['couple of stocks to watch $hrg $idsa $airm $mrk check out URL'],"[51.209999, 51.77]","[51.75, 51.98]","[50.860001, 51.279999]","[51.599998, 51.349998]","[46.261776, 46.03764]","[15877800, 10653600]",0.5746381287354285,0.0294343593689881,0.011937806389156,0.0055782717751045,0.470469338761866,0.1679949040155805,-0.1751145382634493,0.3521177339545353,0.2446696300527287,0.0999891859504706,0.3175748527580527,0.1659887102557515,0.2070555947542509,1.0
14,349,349,2014-01-27,52.860001,54.099998,52.529999,52.529999,47.09557,31002000,0.0075793523438187,1.1800009999999972,0.0105809734513273,"['nice move underway on the $mrk u / g to overweight by $ms . merck', '$mrk rises 2.56 % , currently trading at $53.31', 'monday analyst moves : cisco systems , inc . , merck & co . , inc . , xerox ... $mrk URL', 'bayp insider disclosure $bayp $jks $mrk $tsl $qcom buy or sell ? , chart , open , recent news , is this one to watch ? s URL']","[52.860001, 51.27]","[54.099998, 52.169998]","[52.529999, 51.130001]","[52.529999, 51.98]","[47.09557, 46.602478]","[31002000, 18261300]",1.1727956255947485,0.0274576794371091,0.0154210189886155,0.0017895300828942,1.1018891464498737,-0.4517843606314322,0.3145228670496916,0.2294375386620726,0.3240649262153378,0.0320128154691266,0.3534380479809467,0.1539097643775286,0.2158563885107349,1.0
15,350,350,2014-01-28,52.369999,53.09,52.220001,52.869999,47.400398,15078200,0.0020672185329556,1.5200010000000006,0.0064724920326002,"['nice move underway on the $mrk u / g to overweight by $ms . merck', '$mrk rises 2.56 % , currently trading at $53.31', 'monday analyst moves : cisco systems , inc . , merck & co . , inc . , xerox ... $mrk URL', 'bayp insider disclosure $bayp $jks $mrk $tsl $qcom buy or sell ? , chart , open , recent news , is this one to watch ? s URL']","[52.369999, 52.860001]","[53.09, 54.099998]","[52.220001, 52.529999]","[52.869999, 52.529999]","[47.400398, 47.09557]","[15078200, 31002000]",1.458905577889945,0.0274576794371091,0.0193916942473386,0.0020985084489638,1.821673809792993,-0.4012403013971553,0.548725623700979,0.2294375386620726,0.4145712990335756,0.0375564047631263,0.3705920870563589,0.1539097643775286,0.2441573888076473,1.0
