,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,Volatility,mr,Daily Return,list,combina-Open,combina-High,combina-Low,combina-Close,combina-Adj_Close,combina-Volume,beta,future-MD,future-Volatility,change,z_future-Volatility,z_change,z_beta,z_future-MD,scaled_future-Volatility,scaled_change,scaled_beta,scaled_future-MD,risk,label-risk
0,340,340,2014-01-13,91.550003,92.169998,90.650002,90.860001,82.433334,872900,0.0117841456353379,2.190002000000007,-0.0116392798868705,['wow . great stock research on $pbr $epax $eeft $sre $glch $coh URL'],"[91.550003, 90.919998]","[92.169998, 92.970001]","[90.650002, 90.889999]","[90.860001, 91.93]","[82.433334, 83.404099]","[872900, 1349300]",0.6771236765798998,0.0137449768461869,0.0046935959595176,0.0052928820025829,-0.8916549330006426,0.2103128335818974,-0.018966037302087,-0.6532909633924467,0.1520324882271725,0.0954835337700711,0.2616703932543051,0.1136657197684173,0.1557130337549915,0.0
1,341,341,2014-01-14,90.900002,91.690002,90.529999,91.669998,83.168205,996000,0.0106520033783596,2.190002000000007,0.0089147808836147,['wow . great stock research on $pbr $epax $eeft $sre $glch $coh URL'],"[90.900002, 91.550003]","[91.690002, 92.169998]","[90.529999, 90.650002]","[91.669998, 90.860001]","[83.168205, 82.433334]","[996000, 872900]",0.91233493063581,0.0106579992601849,0.0045586288054046,0.0024972836977108,-0.923411594533842,-0.3882342226710983,0.1859988956351688,-0.8894033965210076,0.1471559434901158,0.0450361618684939,0.2749408845371938,0.0825762779587469,0.1374273169636376,0.0
2,354,354,2014-02-03,92.870003,94.440002,91.690002,91.949997,83.422241,1514200,0.0093079716932837,2.510002,-0.0081976270973749,['buy or sell ? $esca $brs $sre $fuel check out URL'],"[92.870003, 90.839996]","[94.440002, 92.940002]","[91.690002, 90.709999]","[91.949997, 92.709999]","[83.422241, 84.111748]","[1514200, 1956700]",0.8512544527852968,0.0243147317313861,0.0081326359713151,0.0061897053104782,-0.0824770973151779,0.4023257382915261,0.1327728878208058,0.1551536961455695,0.2762896275309867,0.1116669671569599,0.2714947571309039,0.2201154008208365,0.2198916881599217,1.0
3,355,355,2014-02-04,92.330002,92.330002,90.830002,91.150002,82.696419,1314400,0.0110553111745992,2.489998,-0.0087003265481345,['buy or sell ? $esca $brs $sre $fuel check out URL'],"[92.330002, 92.870003]","[92.330002, 94.440002]","[90.830002, 91.690002]","[91.150002, 91.949997]","[82.696419, 83.422241]","[1314400, 1514200]",0.9385863579134108,0.0333775077350517,0.0065572453873961,0.0031555011020749,-0.453153547336632,-0.2473076492538762,0.2088745954100687,0.8483346582710369,0.2193686476725334,0.0569138834038723,0.2764219758151137,0.3113880580884738,0.2160231412449983,1.0
4,365,365,2014-02-19,93.440002,94.540001,92.610001,92.629997,84.039169,1422900,0.0052980720266536,0.989998,-0.008456444197312,['5 stocks to watch $sre $brcd $holx $cray nasdaq URL'],"[93.440002, 93.220001]","[94.540001, 93.879997]","[92.610001, 93.220001]","[92.629997, 93.419998]","[84.039169, 84.755898]","[1422900, 1062100]",-0.1845364286146686,0.0084506931164453,0.0051099376360347,0.0029491542874934,-0.7936931600773673,-0.2914872004503741,-0.76982341606481,-1.0582327481240936,0.1670754727575935,0.0531902960495099,0.2130559978220205,0.0603461470296797,0.1234169784147009,0.0
5,366,366,2014-02-20,92.790001,93.449997,92.449997,92.93,84.31134,961200,0.004953528095628,0.7900010000000037,0.0032387240604143,"[""sempra energy : notice of cancellation of the environmental impact statement for the proposed shu'luuk wind ... URL $sre"", '5 stocks to watch $sre $brcd $holx $cray nasdaq URL']","[92.790001, 93.440002]","[93.449997, 94.540001]","[92.449997, 92.610001]","[92.93, 92.629997]","[84.31134, 84.039169]","[961200, 1422900]",0.6934067176973623,0.0195015703303931,0.0096980968280341,0.0011118754038389,0.2858629695478713,-0.6848548260533318,-0.0047768674681387,-0.2129886754032833,0.3328518329955082,0.0200360725084874,0.2625890735958369,0.1716412875084289,0.1967795666520653,0.0
6,367,367,2014-02-21,93.18,93.75,92.959999,93.0,84.374855,1151600,0.0047663156479717,0.7900010000000037,0.000753255138276,"[""sempra energy : notice of cancellation of the environmental impact statement for the proposed shu'luuk wind ... URL $sre""]","[93.18, 92.790001]","[93.75, 93.449997]","[92.959999, 92.449997]","[93.0, 92.93]","[84.374855, 84.31134]","[1151600, 961200]",0.7649593245645011,0.0235102700917571,0.0096634635136539,0.0004500381533152,0.2777140354625896,-0.8265564207814273,0.0575746357661531,0.0936231570342074,0.3316004847835855,0.0080930298126542,0.26662603283705,0.2120135398138867,0.2045832718117941,1.0
7,371,371,2014-02-27,92.559998,95.839996,92.0,94.099998,85.372826,2792700,0.0107347406077492,1.7999949999999956,0.0195015703303931,"['listen to $sre q4 2013 earnings call - live at 01:00 pm , ondemand after - URL', '$sre barchart morning call URL']","[92.559998, 93.169998]","[95.839996, 93.620003]","[92.0, 91.019997]","[94.099998, 92.300003]","[85.372826, 83.739784]","[2792700, 1411900]",0.7214196897706319,0.0142078943039431,0.0076547377243998,0.0013106394239682,-0.1949226250758974,-0.6422987768061755,0.0196338562679207,-0.6178839789737289,0.2590225213512695,0.0236228261657065,0.2641695502749747,0.1183278350461091,0.1662856832095149,0.0
8,372,372,2014-02-28,94.269997,94.75,93.889999,94.470001,85.708511,1056800,0.0098263648514252,2.1699979999999925,0.0039320192121576,"['sempra energy $sre releases quarterly earnings , beats expectations by $0.15 eps URL', 'listen to $sre q4 2013 earnings call - live at 01:00 pm , ondemand after - URL', '$sre barchart morning call URL']","[94.269997, 92.559998]","[94.75, 95.839996]","[93.889999, 92.0]","[94.470001, 94.099998]","[85.708511, 85.372826]","[1056800, 2792700]",0.6915003190532067,0.0142078943039431,0.0073359788212947,0.0011490128965375,-0.2699239738346292,-0.6769035632082282,-0.0064381182098151,-0.6178839789737289,0.2475053336210927,0.0207062291981639,0.2624815156191128,0.1183278350461091,0.1622552283711196,0.0
9,373,373,2014-03-03,94.129997,94.760002,93.93,94.080002,85.354683,1093900,0.0105807057392281,2.1699979999999925,-0.0041282840676587,"['$sre - dennis arriola assumes role as ceo of socalgas -> URL stock stocks stockaction', 'sempra energy $sre releases quarterly earnings , beats expectations by $0.15 eps URL']","[94.129997, 94.269997]","[94.760002, 94.75]","[93.93, 93.889999]","[94.080002, 94.470001]","[85.354683, 85.708511]","[1093900, 1056800]",0.749106384007424,0.0142078943039431,0.0076575737531905,0.0038280728645161,-0.1942553308219984,-0.1033077592029745,0.043760258936347,-0.6178839789737289,0.2591249908844261,0.0690506334409713,0.2657316185356797,0.1183278350461091,0.1780587694767965,0.0
10,374,374,2014-03-04,94.82,95.220001,94.489998,94.940002,86.134926,932900,0.0085076159031321,2.639999000000003,0.0091411562682579,['$sre - dennis arriola assumes role as ceo of socalgas -> URL stock stocks stockaction'],"[94.82, 94.129997]","[95.220001, 94.760002]","[94.489998, 93.93]","[94.940002, 94.080002]","[86.134926, 85.354683]","[932900, 1093900]",0.0605720977410034,0.005875472643142,0.0062170027945747,0.0014348568153704,-0.5332098316260753,-0.6157034130052897,-0.5562339223627012,-1.2552026174718045,0.2070752253487837,0.0258643645619022,0.226884887835895,0.0344106924235694,0.1235587925425376,0.0
11,381,381,2014-03-13,94.669998,96.209999,94.610001,95.540001,86.679291,1741300,0.0044526609655984,1.870002999999997,0.0101501266620824,['$sre - socalgas issues $250 million of new 30 - year bonds -> URL stock stocks stockaction'],"[94.669998, 93.610001]","[96.209999, 94.620003]","[94.610001, 93.599998]","[95.540001, 94.580002]","[86.679291, 85.808334]","[1741300, 860200]",0.5548606750722762,0.0082592784472707,0.0050583626605036,0.0021657287845644,-0.8058283277208439,-0.4592212514241705,-0.1255069764476305,-1.0728734061840204,0.1652119995507758,0.0390531585235063,0.2547723810727065,0.0584183794793723,0.1293639796565902,0.0
12,382,382,2014-03-14,95.449997,96.5,95.230003,95.919998,87.02404,2372700,0.0044661120583368,1.9599990000000105,0.0039773602263202,"['great stock research $hd $hsy $sre $cbm investing URL', '$sre - socalgas issues $250 million of new 30 - year bonds -> URL stock stocks stockaction']","[95.449997, 94.669998]","[96.5, 96.209999]","[95.230003, 94.610001]","[95.919998, 95.540001]","[87.02404, 86.679291]","[2372700, 1741300]",0.628884180118306,0.0082592784472707,0.0048895571721147,0.003051853072818,-0.8455468710578734,-0.2694990430210076,-0.0610023131463853,-1.0728734061840204,0.1591128303017898,0.0550435250374089,0.2589487470479873,0.0584183794793723,0.1328808704666396,0.0
13,383,383,2014-03-17,96.080002,96.720001,95.669998,96.389999,87.450462,821700,0.0023402040320329,2.430000000000007,0.0048999271246856,['great stock research $hd $hsy $sre $cbm investing URL'],"[96.080002, 95.449997]","[96.720001, 96.5]","[95.669998, 95.230003]","[96.389999, 95.919998]","[87.450462, 87.02404]","[821700, 2372700]",0.5722746093788493,0.0082592784472707,0.0044770133022245,0.0039351638613939,-0.9426150513110536,-0.0803792144185912,-0.1103323374124076,-1.0728734061840204,0.1442070656308262,0.0709831211440114,0.2557548657941274,0.0584183794793723,0.1323408580120843,0.0
14,385,385,2014-03-19,96.440002,96.980003,95.239998,95.650002,86.779099,1749500,0.0051779174477428,0.9000010000000032,-0.0081916215638403,"['stocks going ex dividend the fourth week of march URL $cone $cpla , exdividend $hta $kar $lbmh $nauh $rpai $sre', 'decreased bullishness in $sre ( sentiment score of 2.35 on a scale of 0-4 )']","[96.440002, 96.379997]","[96.980003, 96.489998]","[95.239998, 95.75]","[95.650002, 96.440002]","[86.779099, 87.495827]","[1749500, 1122000]",0.3897334265835019,0.0039616869049559,0.0027032575275957,0.0016504894245137,-1.3599651995573776,-0.5695357417737178,-0.2694001568503426,-1.401581589958962,0.0801188847364734,0.0297555167380219,0.2454559913428307,0.0151366521411547,0.0926167612396202,0.0
15,386,386,2014-03-20,95.290001,96.220001,94.550003,96.169998,87.250854,1391300,0.0054662341913154,0.7900000000000063,0.0054364452600847,"['stocks going ex dividend the fourth week of march URL $cone $cpla , exdividend $hta $kar $lbmh $nauh $rpai $sre', 'decreased bullishness in $sre ( sentiment score of 2.35 on a scale of 0-4 )']","[95.290001, 96.440002]","[96.220001, 96.980003]","[94.550003, 95.239998]","[96.169998, 95.650002]","[87.250854, 86.779099]","[1391300, 1749500]",0.1601642815965458,0.0039616869049559,0.0018490122456641,0.0004640101413607,-1.560962089970595,-0.8235649708652998,-0.4694485116604823,-1.401581589958962,0.0492538541952553,0.008345158337667,0.2325038247911169,0.0151366521411547,0.0763098723662985,0.0
16,391,391,2014-03-27,96.029999,96.93,95.43,96.199997,87.881386,1274000,0.0019368145277576,0.380004999999997,0.0029190888848849,"['rt AT_USER bullish options activity today on $aol , $bax , $sbs and $sre . bearish activity on $bcr , $exc and $wu']","[96.029999, 96.699997]","[96.93, 97.209999]","[95.43, 95.839996]","[96.199997, 95.919998]","[87.881386, 87.625595]","[1274000, 1498300]",0.6107903645524668,0.0105483237597911,0.0056705261860601,2.096923059451357e-05,-0.6617912839539452,-0.9184215289325286,-0.0767694060472623,-0.8977921031219229,0.1873302907631047,0.0003503582427879,0.2579279037949532,0.0814717185661225,0.1317700678417421,0.0
17,392,392,2014-03-28,96.199997,96.25,94.93,95.75,87.470299,1194000,0.0027551252006856,0.4499969999999962,-0.0046777236385984,"['stock market reports you need on $mtd $sre $c $feye stockmarket URL', 'buy or sell ? $sre $d $dfs $rax view now URL', 'rt AT_USER bullish options activity today on $aol , $bax , $sbs and $sre . bearish activity on $bcr , $exc and $wu']","[96.199997, 96.029999]","[96.25, 96.93]","[94.93, 95.43]","[95.75, 96.199997]","[87.470299, 87.881386]","[1194000, 1274000]",-0.0091175280500515,0.0073919726998862,0.0053264735774153,0.0017748083993825,-0.7427440336370247,-0.5429186286089153,-0.6169620092649151,-1.139210677698374,0.1748992074452131,0.0319988882369598,0.222953036975782,0.0496836054768747,0.1198836845337074,0.0
18,393,393,2014-03-31,96.410004,97.120003,95.629997,96.760002,88.39296,1058000,0.0057693773334617,1.010002,0.0105483237597912,"['stock market reports you need on $mtd $sre $c $feye stockmarket URL', 'buy or sell ? $sre $d $dfs $rax view now URL']","[96.410004, 96.199997]","[97.120003, 96.25]","[95.629997, 94.93]","[96.760002, 95.75]","[88.39296, 87.470299]","[1058000, 1194000]",-0.0651510967397375,0.0093125353144292,0.0042936843884953,0.0003710165235341,-0.9857508372051016,-0.8434752190949624,-0.6657901008237767,-0.9923133649508614,0.1375831454980216,0.006667061876242,0.2197916534449206,0.06902589675797,0.1082669393942885,0.0
19,397,397,2014-04-04,96.559998,97.889999,96.089996,96.440002,88.100639,962200,0.0030998193765161,0.7099989999999963,0.0036424811590167,['couple of stocks you should watch $sre $neu $kar $fb i suggest URL'],"[96.559998, 96.370003]","[97.889999, 96.620003]","[96.089996, 95.940002]","[96.440002, 96.089996]","[88.100639, 87.780891]","[962200, 997500]",0.3705489921500557,0.0130794182274772,0.0059860231376616,0.0011366317042494,-0.5875574455611118,-0.6795544183700836,-0.2861176235926261,-0.7041972821055525,0.1987296197998686,0.020482807038101,0.2443736159652662,0.1069627731577494,0.1426372039902463,0.0
