,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,Volatility,mr,Daily Return,list,combina-Open,combina-High,combina-Low,combina-Close,combina-Adj_Close,combina-Volume,beta,future-MD,future-Volatility,change,z_future-Volatility,z_change,z_beta,z_future-MD,scaled_future-Volatility,scaled_change,scaled_beta,scaled_future-MD,risk,label-risk
0,333,333,2014-01-02,64.610001,64.639999,63.439999,63.580002,55.403057,2282100,0.0083256132475405,1.1100000000000063,-0.0171587566189904,['rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …'],"[64.610001, 64.400002, 64.389999, 64.589996, 64.650002]","[64.639999, 64.860001, 64.830002, 64.699997, 64.879997]","[63.439999, 64.339996, 64.129997, 64.129997, 64.099998]","[63.580002, 64.690002, 64.389999, 64.410004, 64.43]","[55.403057, 56.370312, 56.108879, 56.126316, 56.143742]","[2282100, 1386300, 1229800, 957700, 1077100]",2.21363730672427,0.0442450336717061,0.0105660573051904,0.0029166138296356,0.6495324682920658,-0.3572486564317674,1.448863235415706,1.8862201528252995,0.3802006496774446,0.0655166199957438,0.5477395135745363,0.5215882926054989,0.3787612689633059,1.0
1,334,334,2014-01-03,63.580002,63.869999,63.139999,63.509998,55.342052,1739100,0.0082609032426253,1.1800040000000038,-0.0011010380276489,"['rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER subasta de sicad fue de u $d 24,3 millones no hay mas', 'rt AT_USER el supuesto préstamo de u $d 5,000 millones de china es una mentira que no es verdad ... ellos no prestan en efectivo , en es …', 'なんて ？ "" AT_USER $bee 5 $% 0 % k ! < % t ! j :8 ! & % ^ % $% / $k $v $d ( b $b $1 $fa0 ; u $, 7g $1 $? AT_USER japan 13/14 - 山崎洋一郎の', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …']","[63.580002, 64.610001, 64.400002, 64.389999, 64.589996]","[63.869999, 64.639999, 64.860001, 64.830002, 64.699997]","[63.139999, 63.439999, 64.339996, 64.129997, 64.129997]","[63.509998, 63.580002, 64.690002, 64.389999, 64.410004]","[55.342052, 55.403057, 56.370312, 56.108879, 56.126316]","[1739100, 2282100, 1386300, 1229800, 957700]",2.2028490560948257,0.067065475440806,0.010396588670716,0.0002861180157038,0.6060913620830638,-0.9083562148920244,1.439492071261884,3.753776745195311,0.373257106799633,0.0062589775797731,0.5472311353276436,0.7951636717166003,0.4304777228559124,2.0
2,335,335,2014-01-06,63.639999,63.810001,63.25,63.52,55.350765,1889000,0.008308687510188,1.1800040000000038,0.000157487014879,"[""i have to make decision i don't have time for this shit . lol need a publicist and a designer watch me kill it c $d"", 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER subasta de sicad fue de u $d 24,3 millones no hay mas', 'rt AT_USER el supuesto préstamo de u $d 5,000 millones de china es una mentira que no es verdad ... ellos no prestan en efectivo , en es …', 'なんて ？ "" AT_USER $bee 5 $% 0 % k ! < % t ! j :8 ! & % ^ % $% / $k $v $d ( b $b $1 $fa0 ; u $, 7g $1 $? AT_USER japan 13/14 - 山崎洋一郎の', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …']","[63.639999, 63.580002, 64.610001, 64.400002, 64.389999]","[63.810001, 63.869999, 64.639999, 64.860001, 64.830002]","[63.25, 63.139999, 63.439999, 64.339996, 64.129997]","[63.52, 63.509998, 63.580002, 64.690002, 64.389999]","[55.350765, 55.342052, 55.403057, 56.370312, 56.108879]","[1889000, 1739100, 2282100, 1386300, 1229800]",1.6718954645597508,0.0477662220508201,0.0130040331964437,0.0003792448317001,1.274476251874155,-0.8888454854245686,0.9782816827345102,2.174383661530697,0.4800904622583427,0.0083568617628307,0.5222108363637602,0.5638009042404801,0.3936147661563534,1.0
3,336,336,2014-01-07,63.810001,64.739998,63.700001,64.690002,56.370312,2196600,0.0125889218183333,1.1800040000000038,0.0184194269521411,"['☛ * * * pindi express * * * ☛ * * * u $d - reseller * * * ☛ * * * itel mobile dialer ☛ * * * mosip ... URL', 'rt AT_USER sigue cayendo precio del crudo , wti u $d 93.43', '☛ * * * pindi express * * * ☛ * * * u $d - reseller * * * ☛ * * * itel mobile dialer ☛ * * * mosip ... URL', ""i have to make decision i don't have time for this shit . lol need a publicist and a designer watch me kill it c $d"", 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER subasta de sicad fue de u $d 24,3 millones no hay mas', 'rt AT_USER el supuesto préstamo de u $d 5,000 millones de china es una mentira que no es verdad ... ellos no prestan en efectivo , en es …', 'なんて ？ "" AT_USER $bee 5 $% 0 % k ! < % t ! j :8 ! & % ^ % $% / $k $v $d ( b $b $1 $fa0 ; u $, 7g $1 $? AT_USER japan 13/14 - 山崎洋一郎の', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …']","[63.810001, 63.639999, 63.580002, 64.610001, 64.400002]","[64.739998, 63.810001, 63.869999, 64.639999, 64.860001]","[63.700001, 63.25, 63.139999, 63.439999, 64.339996]","[64.690002, 63.52, 63.509998, 63.580002, 64.690002]","[56.370312, 55.350765, 55.342052, 55.403057, 56.370312]","[2196600, 1889000, 1739100, 2282100, 1386300]",0.5609961776226428,0.0466336767562175,0.0131888540130755,0.0023286291905987,1.3218526926523415,-0.4804356149950715,0.0133041406074608,2.081699547327585,0.4876630214459189,0.0522709864913692,0.4698615675744271,0.5502237565469181,0.3900048330146583,1.0
4,337,337,2014-01-08,64.529999,65.129997,64.279999,64.760002,56.431293,2935500,0.0079214495293511,1.250003999999997,0.001082083750747,"['¡ ndu $t ® ¥ t € u $dAT_USER all day / all night at rockbar inc . come in for a drink and say hi ! ( at AT_USER URL', '☛ * * * pindi express * * * ☛ * * * u $d - reseller * * * ☛ * * * itel mobile dialer ☛ * * * mosip ... URL', 'rt AT_USER sigue cayendo precio del crudo , wti u $d 93.43', '☛ * * * pindi express * * * ☛ * * * u $d - reseller * * * ☛ * * * itel mobile dialer ☛ * * * mosip ... URL', ""i have to make decision i don't have time for this shit . lol need a publicist and a designer watch me kill it c $d"", 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER subasta de sicad fue de u $d 24,3 millones no hay mas', 'rt AT_USER el supuesto préstamo de u $d 5,000 millones de china es una mentira que no es verdad ... ellos no prestan en efectivo , en es …', 'なんて ？ "" AT_USER $bee 5 $% 0 % k ! < % t ! j :8 ! & % ^ % $% / $k $v $d ( b $b $1 $fa0 ; u $, 7g $1 $? AT_USER japan 13/14 - 山崎洋一郎の', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …']","[64.529999, 63.810001, 63.639999, 63.580002, 64.610001]","[65.129997, 64.739998, 63.810001, 63.869999, 64.639999]","[64.279999, 63.700001, 63.25, 63.139999, 63.439999]","[64.760002, 64.690002, 63.52, 63.509998, 63.580002]","[56.431293, 56.370312, 55.350765, 55.342052, 55.403057]","[2935500, 2196600, 1889000, 1739100, 2282100]",0.3019199371828473,0.0220144601930037,0.014345663366863,0.0036990830508197,1.618385901628197,-0.1933157964085016,-0.2117412407901634,0.066936614303594,0.5350603193257842,0.0831434419297902,0.4576530335451128,0.2550843559670678,0.3327352876919388,1.0
5,338,338,2014-01-09,65.5,66.440002,65.160004,66.32,57.790665,2961600,0.0103962435162177,2.81000199999999,0.0240889121652589,"['brasil 2014 el gobierno compró por u $d 18 millones a torneos y competencias los derechos exclusivos para televisar 64 partidos', 'rt AT_USER brasil 2014 el gobierno compró por u $d 18 millones a torneos y competencias los derechos exclusivos para televisar 64 partid …', 'venezuela sin medicamentos para el cáncer en su mayoría niños y AT_USER se compra nuevo avión embraer 190 tropa u $d 80 millones', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'insólito AT_USER vzla sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 u $d 80 millones', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER member u $d nang pina selow ni png urgnya AT_USER b - )', '¡ ndu $t ® ¥ t € u $dAT_USER all day / all night at rockbar inc . come in for a drink and say hi ! ( at AT_USER URL', '☛ * * * pindi express * * * ☛ * * * u $d - reseller * * * ☛ * * * itel mobile dialer ☛ * * * mosip ... URL', 'rt AT_USER sigue cayendo precio del crudo , wti u $d 93.43', '☛ * * * pindi express * * * ☛ * * * u $d - reseller * * * ☛ * * * itel mobile dialer ☛ * * * mosip ... URL', ""i have to make decision i don't have time for this shit . lol need a publicist and a designer watch me kill it c $d"", 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER subasta de sicad fue de u $d 24,3 millones no hay mas', 'rt AT_USER el supuesto préstamo de u $d 5,000 millones de china es una mentira que no es verdad ... ellos no prestan en efectivo , en es …', 'なんて ？ "" AT_USER $bee 5 $% 0 % k ! < % t ! j :8 ! & % ^ % $% / $k $v $d ( b $b $1 $fa0 ; u $, 7g $1 $? AT_USER japan 13/14 - 山崎洋一郎の']","[65.5, 64.529999, 63.810001, 63.639999, 63.580002]","[66.440002, 65.129997, 64.739998, 63.810001, 63.869999]","[65.160004, 64.279999, 63.700001, 63.25, 63.139999]","[66.32, 64.760002, 64.690002, 63.52, 63.509998]","[57.790665, 56.431293, 56.370312, 55.350765, 55.342052]","[2961600, 2935500, 2196600, 1889000, 1739100]",0.3868016088701876,0.0195546922583623,0.011146099993622,0.0076403998340165,0.7982189559837972,0.632418066387274,-0.1380091681534816,-0.1343634248683078,0.4039664119412245,0.1719301791485992,0.4616529401961467,0.2255962350948401,0.3157864415952026,1.0
6,339,339,2014-01-10,66.769997,67.82,66.639999,67.779999,59.062893,3385000,0.0089676461053342,4.2599990000000005,0.0220144601930036,"['rt AT_USER member u $d nang ketuju kada beranai ni png urgnya AT_USER =) )', 'brasil 2014 el gobierno compró por u $d 18 millones a torneos y competencias los derechos exclusivos para televisar 64 partidos', 'rt AT_USER brasil 2014 el gobierno compró por u $d 18 millones a torneos y competencias los derechos exclusivos para televisar 64 partid …', 'venezuela sin medicamentos para el cáncer en su mayoría niños y AT_USER se compra nuevo avión embraer 190 tropa u $d 80 millones', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'insólito AT_USER vzla sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 u $d 80 millones', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER member u $d nang pina selow ni png urgnya AT_USER b - )', '¡ ndu $t ® ¥ t € u $dAT_USER all day / all night at rockbar inc . come in for a drink and say hi ! ( at AT_USER URL', '☛ * * * pindi express * * * ☛ * * * u $d - reseller * * * ☛ * * * itel mobile dialer ☛ * * * mosip ... URL', 'rt AT_USER sigue cayendo precio del crudo , wti u $d 93.43', '☛ * * * pindi express * * * ☛ * * * u $d - reseller * * * ☛ * * * itel mobile dialer ☛ * * * mosip ... URL', ""i have to make decision i don't have time for this shit . lol need a publicist and a designer watch me kill it c $d""]","[66.769997, 65.5, 64.529999, 63.810001, 63.639999]","[67.82, 66.440002, 65.129997, 64.739998, 63.810001]","[66.639999, 65.160004, 64.279999, 63.700001, 63.25]","[67.779999, 66.32, 64.760002, 64.690002, 63.52]","[59.062893, 57.790665, 56.431293, 56.370312, 55.350765]","[3385000, 2961600, 2935500, 2196600, 1889000]",0.2282098461533049,0.0132749583153574,0.0030990859945382,0.0110530803022654,-1.2645296516491622,1.3473988660907703,-0.2757691714118128,-0.6482780388907469,0.0742606412286503,0.2488082330106928,0.4541795689267039,0.1503137050037419,0.2318905370424472,1.0
7,340,340,2014-01-13,67.769997,68.470001,67.010002,67.169998,58.531357,2852000,0.0138731845952933,3.0899969999999968,-0.0089997198141003,"['rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER vamos a ver si me entienden no habra mas boletos aereos hasta que les paguen los u $d 3,6 millardos , mas del 10 % de las re …', 'rt AT_USER a esta hora sigue cayendo precio del crudo wti u $d 92.04', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER member u $d nang ketuju kada beranai ni png urgnya AT_USER =) )', 'brasil 2014 el gobierno compró por u $d 18 millones a torneos y competencias los derechos exclusivos para televisar 64 partidos', 'rt AT_USER brasil 2014 el gobierno compró por u $d 18 millones a torneos y competencias los derechos exclusivos para televisar 64 partid …', 'venezuela sin medicamentos para el cáncer en su mayoría niños y AT_USER se compra nuevo avión embraer 190 tropa u $d 80 millones', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'insólito AT_USER vzla sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 u $d 80 millones', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER member u $d nang pina selow ni png urgnya AT_USER b - )', '¡ ndu $t ® ¥ t € u $dAT_USER all day / all night at rockbar inc . come in for a drink and say hi ! ( at AT_USER URL', '☛ * * * pindi express * * * ☛ * * * u $d - reseller * * * ☛ * * * itel mobile dialer ☛ * * * mosip ... URL', 'rt AT_USER sigue cayendo precio del crudo , wti u $d 93.43', '☛ * * * pindi express * * * ☛ * * * u $d - reseller * * * ☛ * * * itel mobile dialer ☛ * * * mosip ... URL']","[67.769997, 66.769997, 65.5, 64.529999, 63.810001]","[68.470001, 67.82, 66.440002, 65.129997, 64.739998]","[67.010002, 66.639999, 65.160004, 64.279999, 63.700001]","[67.169998, 67.779999, 66.32, 64.760002, 64.690002]","[58.531357, 59.062893, 57.790665, 56.431293, 56.370312]","[2852000, 3385000, 2961600, 2935500, 2196600]",0.0282774561849804,0.0123698896912068,0.0053063289819576,0.0129564314214084,-0.6987312822757068,1.7461644457993468,-0.449439519869011,-0.7223461438241238,0.1646967645409616,0.2916853588410621,0.4447580898194461,0.1394635867422789,0.2601509499859372,1.0
8,341,341,2014-01-14,67.199997,67.43,66.82,67.110001,58.479065,1750500,0.0141921322453648,3.019997000000004,-0.0008932112816202,"['rt AT_USER crudo palo abajo , cierra jornada de hoy el wti u $d 91.63', 'rt AT_USER hernán altolaguirre jugará en cobreloa de chile a préstamo por un año , sin cargo y con una opcion de u $d 700.000 por el 5 …', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER noticiero de verdad en tiempos de revolución ► deuda del régimen con lineas aereas u $d 3.1 millardos ... dolares no hay .', 'rt AT_USER noticiero de verdad en tiempos de revolución ► deuda del régimen con lineas aereas u $d 3.1 millardos ... dolares no hay .', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER vamos a ver si me entienden no habra mas boletos aereos hasta que les paguen los u $d 3,6 millardos , mas del 10 % de las re …', 'rt AT_USER a esta hora sigue cayendo precio del crudo wti u $d 92.04', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER member u $d nang ketuju kada beranai ni png urgnya AT_USER =) )', 'brasil 2014 el gobierno compró por u $d 18 millones a torneos y competencias los derechos exclusivos para televisar 64 partidos', 'rt AT_USER brasil 2014 el gobierno compró por u $d 18 millones a torneos y competencias los derechos exclusivos para televisar 64 partid …', 'venezuela sin medicamentos para el cáncer en su mayoría niños y AT_USER se compra nuevo avión embraer 190 tropa u $d 80 millones', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'insólito AT_USER vzla sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 u $d 80 millones', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER member u $d nang pina selow ni png urgnya AT_USER b - )', '¡ ndu $t ® ¥ t € u $dAT_USER all day / all night at rockbar inc . come in for a drink and say hi ! ( at AT_USER URL']","[67.199997, 67.769997, 66.769997, 65.5, 64.529999]","[67.43, 68.470001, 67.82, 66.440002, 65.129997]","[66.82, 67.010002, 66.639999, 65.160004, 64.279999]","[67.110001, 67.169998, 67.779999, 66.32, 64.760002]","[58.479065, 58.531357, 59.062893, 57.790665, 56.431293]","[1750500, 2852000, 3385000, 2961600, 2935500]",0.0760640758452727,0.0125207721749769,0.00559421158601,0.0071962009220895,-0.6249362769807677,0.5393552390198024,-0.4079298930931324,-0.7099983733432053,0.1764920162771517,0.1619236320386878,0.4470099542562551,0.1412723918967226,0.2316744986172043,1.0
9,342,342,2014-01-15,67.099998,67.160004,66.559998,66.629997,58.060802,1613700,0.0122759600221222,1.4599990000000105,-0.0071524957956712,"['rt AT_USER noticiero de verdad en tiempos de revolución ► el régimen le debe a industrias polar u $d 400 millones', 'rt AT_USER noticiero de verdad en tiempos de revolución ► bcv pierde u $d 1.000 . 000.000 , 00 de las reservas internacionales en 2 días . …', 'rt AT_USER crudo palo abajo , cierra jornada de hoy el wti u $d 91.63', 'rt AT_USER hernán altolaguirre jugará en cobreloa de chile a préstamo por un año , sin cargo y con una opcion de u $d 700.000 por el 5 …', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER noticiero de verdad en tiempos de revolución ► deuda del régimen con lineas aereas u $d 3.1 millardos ... dolares no hay .', 'rt AT_USER noticiero de verdad en tiempos de revolución ► deuda del régimen con lineas aereas u $d 3.1 millardos ... dolares no hay .', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER vamos a ver si me entienden no habra mas boletos aereos hasta que les paguen los u $d 3,6 millardos , mas del 10 % de las re …', 'rt AT_USER a esta hora sigue cayendo precio del crudo wti u $d 92.04', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER member u $d nang ketuju kada beranai ni png urgnya AT_USER =) )', 'brasil 2014 el gobierno compró por u $d 18 millones a torneos y competencias los derechos exclusivos para televisar 64 partidos', 'rt AT_USER brasil 2014 el gobierno compró por u $d 18 millones a torneos y competencias los derechos exclusivos para televisar 64 partid …', 'venezuela sin medicamentos para el cáncer en su mayoría niños y AT_USER se compra nuevo avión embraer 190 tropa u $d 80 millones', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'insólito AT_USER vzla sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 u $d 80 millones', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER venezuela sin medicamentos para el cáncer en su mayoría niños y maduro se compra nuevo avión embraer 190 tropa u $d 80 …', 'rt AT_USER member u $d nang pina selow ni png urgnya AT_USER b - )']","[67.099998, 67.199997, 67.769997, 66.769997, 65.5]","[67.160004, 67.43, 68.470001, 67.82, 66.440002]","[66.559998, 66.82, 67.010002, 66.639999, 65.160004]","[66.629997, 67.110001, 67.169998, 67.779999, 66.32]","[58.060802, 58.479065, 58.531357, 59.062893, 57.790665]","[1613700, 1750500, 2852000, 3385000, 2961600]",1.5983830932043834,0.0125207721749769,0.0066054089747276,0.0051662371711331,-0.3657288236500292,0.1140634135672293,0.9144255003959492,-0.7099983733432053,0.2179232371533225,0.1161942811556851,0.5187466889539317,0.1412723918967226,0.2485341497899155,1.0
