,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,Volatility,mr,Daily Return,list,combina-Open,combina-High,combina-Low,combina-Close,combina-Adj_Close,combina-Volume,beta,future-MD,future-Volatility,change,z_future-Volatility,z_change,z_beta,z_future-MD,scaled_future-Volatility,scaled_change,scaled_beta,scaled_future-MD,risk,label-risk
0,532,532,2014-10-16,68.629997,70.459999,68.540001,70.190002,57.53949,2649300,0.0047643869652346,2.6599959999999925,-0.0158440549635443,['top stocks bear trade ideas : $nflx $lpl $vod $bhi $rds-b $swn $xiv $bx $sto $qld more URL'],"[68.629997, 71.589996, 72.629997, 73.550003, 73.269997]","[70.459999, 71.669998, 72.68, 73.790001, 73.489998]","[68.540001, 69.75, 71.580002, 72.440002, 72.629997]","[70.190002, 71.32, 71.669998, 72.510002, 72.849998]","[57.53949, 58.46582, 58.752739, 59.441345, 59.720078]","[2649300, 1289400, 1182200, 777500, 1060700]",1.5056911691934498,0.0341210310691922,0.0171588579834525,0.0139817611902476,0.8805926953148437,1.298933832862388,0.3620591399128369,0.1444882381839664,0.3605642350953953,0.2286311140770048,0.4154232767099773,0.1866140293322196,0.2978081638036493,1.0
1,533,533,2014-10-17,71.510002,72.480003,71.410004,72.129997,59.129837,1247600,0.0169649730274618,2.319999999999993,0.0276391928297707,['top stocks bear trade ideas : $nflx $lpl $vod $bhi $rds-b $swn $xiv $bx $sto $qld more URL'],"[71.510002, 68.629997, 71.589996, 72.629997, 73.550003]","[72.480003, 70.459999, 71.669998, 72.68, 73.790001]","[71.410004, 68.540001, 69.75, 71.580002, 72.440002]","[72.129997, 70.190002, 71.32, 71.669998, 72.510002]","[59.129837, 57.53949, 58.46582, 58.752739, 59.441345]","[1247600, 2649300, 1289400, 1182200, 777500]",1.3791270143670211,0.0360787851746948,0.0150129534791959,0.0001100506986881,0.5695350190589821,-0.8340652172868848,0.269414680472884,0.2319889431961096,0.3124888283887735,0.0013885430537028,0.4106380189444999,0.1984554671335137,0.2307427143801225,1.0
2,534,534,2014-10-20,70.860001,71.559998,70.68,71.510002,58.621574,911800,0.0165502438382399,1.939994999999996,-0.0085955223317145,['top stocks bear trade ideas : $nflx $lpl $vod $bhi $rds-b $swn $xiv $bx $sto $qld more URL'],"[70.860001, 71.510002, 68.629997, 71.589996, 72.629997]","[71.559998, 72.480003, 70.459999, 71.669998, 72.68]","[70.68, 71.410004, 68.540001, 69.75, 71.580002]","[71.510002, 72.129997, 70.190002, 71.32, 71.669998]","[58.621574, 59.129837, 57.53949, 58.46582, 58.752739]","[911800, 1247600, 2649300, 1289400, 1182200]",1.40655284646699,0.0139591624469687,0.0141166290375088,0.0065296553697822,0.4396091078875019,0.1530524618276929,0.2894902808123094,-0.7566349998407876,0.2924081761557791,0.1065527527090486,0.4116749608512431,0.0646653573427765,0.2188253117647118,1.0
3,535,535,2014-10-21,72.540001,73.800003,72.5,73.739998,60.449661,808400,0.0208419283656189,3.549995999999993,0.0311843929189095,['top stocks bear trade ideas : $nflx $lpl $vod $bhi $rds-b $swn $xiv $bx $sto $qld more URL'],"[72.540001, 70.860001, 71.510002, 68.629997, 71.589996]","[73.800003, 71.559998, 72.480003, 70.459999, 71.669998]","[72.5, 70.68, 71.410004, 68.540001, 69.75]","[73.739998, 71.510002, 72.129997, 70.190002, 71.32]","[60.449661, 58.621574, 59.129837, 57.53949, 58.46582]","[808400, 911800, 1247600, 2649300, 1289400]",0.9973833313508054,0.0206651430135486,0.0078666001594437,0.0043369152451508,-0.4663582618098079,-0.1841166714171834,-0.010020181681854,-0.4569150167620997,0.1523867168386958,0.0706318831226781,0.3962046912295514,0.1052263509592127,0.1811124105375345,0.0
4,536,536,2014-10-22,73.300003,73.870003,72.970001,73.07,59.90041,888000,0.0189729989555464,3.549995999999993,-0.0090859508838067,['top stocks bear trade ideas : $nflx $lpl $vod $bhi $rds-b $swn $xiv $bx $sto $qld more URL'],"[73.300003, 72.540001, 70.860001, 71.510002, 68.629997]","[73.870003, 73.800003, 71.559998, 72.480003, 70.459999]","[72.970001, 72.5, 70.68, 71.410004, 68.540001]","[73.07, 73.739998, 71.510002, 72.129997, 70.190002]","[59.90041, 60.449661, 58.621574, 59.129837, 57.53949]","[888000, 808400, 911800, 1247600, 2649300]",1.0406718583546732,0.0097481856248552,0.0065518831401065,0.0067154415322882,-0.656931896450989,0.1816200785175957,0.021666848423353,-0.9448422112005266,0.1229326776289455,0.1095962508597708,0.3978413849702509,0.0391953455667334,0.1673914147564252,0.0
5,621,621,2015-02-25,68.419998,69.029999,68.019997,68.93,58.01878,776000,0.0073044673365621,1.1600030000000032,0.004371310113856,['$rds-b.us : 5 reasons why you should buy royal dutch shell plc : URL'],"[68.419998, 68.739998, 67.900002, 67.620003, 68.0]","[69.029999, 68.769997, 68.269997, 68.400002, 68.360001]","[68.019997, 68.050003, 67.5, 67.589996, 67.639999]","[68.93, 68.629997, 67.769997, 68.300003, 67.959999]","[58.01878, 57.766262, 57.042389, 57.488503, 57.202324]","[776000, 1140800, 717100, 880600, 914400]",-2.0467525354343667,0.0330453382894446,0.0106136119404559,0.004314725372595,-0.0681676156024892,-0.187528721943559,-2.238315564579586,0.0964107618860823,0.2139289282176656,0.070268374693539,0.2811091113184809,0.1801077223813718,0.1863535341527643,0.0
6,622,622,2015-02-26,67.870003,67.970001,67.370003,67.709999,56.99189,1115700,0.0116060925220502,1.2200010000000103,-0.0176991295517192,['$rds-b.us : 5 reasons why you should buy royal dutch shell plc : URL'],"[67.870003, 68.419998, 68.739998, 67.900002, 67.620003]","[67.970001, 69.029999, 68.769997, 68.269997, 68.400002]","[67.370003, 68.019997, 68.050003, 67.5, 67.589996]","[67.709999, 68.93, 68.629997, 67.769997, 68.300003]","[56.99189, 58.01878, 57.766262, 57.042389, 57.488503]","[1115700, 776000, 1140800, 717100, 880600]",-1.885278215490089,0.0385553014985385,0.0096191587782645,0.0033910050893509,-0.2123176880604951,-0.3295656025403783,-2.1201170027104097,0.3426754301769519,0.1916498658790552,0.0551362414069854,0.2872142857614204,0.2134346281682219,0.1868587553039207,0.0
7,623,623,2015-02-27,68.080002,68.690002,67.970001,68.150002,57.362244,700000,0.011522531726176,1.2200010000000103,0.0064983459828438,['$rds-b.us : 5 reasons why you should buy royal dutch shell plc : URL'],"[68.080002, 67.870003, 68.419998, 68.739998, 67.900002]","[68.690002, 67.970001, 69.029999, 68.769997, 68.269997]","[67.970001, 67.370003, 68.019997, 68.050003, 67.5]","[68.150002, 67.709999, 68.93, 68.629997, 67.769997]","[57.362244, 56.99189, 58.01878, 57.766262, 57.042389]","[700000, 1115700, 776000, 1140800, 717100]",-0.159693377573256,0.0322579854718678,0.0079000404265507,0.0011317838218714,-0.4615109576734654,-0.6769572829350182,-0.8569957442006418,0.0612204760183989,0.1531358901771916,0.018126295903513,0.3524568361261425,0.1753454341089047,0.1747661140789379,0.0
8,624,624,2015-03-02,67.059998,67.220001,66.239998,66.559998,56.02393,1171700,0.0132542358110893,2.3700020000000137,-0.0233309457569789,['$rds-b.us : 5 reasons why you should buy royal dutch shell plc : URL'],"[67.059998, 68.080002, 67.870003, 68.419998, 68.739998]","[67.220001, 68.690002, 67.970001, 69.029999, 68.769997]","[66.239998, 67.970001, 67.370003, 68.019997, 68.050003]","[66.559998, 68.150002, 67.709999, 68.93, 68.629997]","[56.02393, 57.362244, 56.99189, 58.01878, 57.766262]","[1171700, 700000, 1115700, 776000, 1140800]",0.8713965357365439,0.0283808144363764,0.0059181646243069,0.0028433282792242,-0.7487919995142547,-0.4137797386773633,-0.1022420164680315,-0.1120674757752523,0.1087352726073568,0.0461643495484609,0.3914412628094939,0.1518944401701313,0.1745588312838607,0.0
9,625,625,2015-03-03,66.190002,66.57,65.980003,66.309998,55.813499,960600,0.0117995285212562,2.6200020000000137,-0.0037560097282455,['$rds-b.us : 5 reasons why you should buy royal dutch shell plc : URL'],"[66.190002, 67.059998, 68.080002, 67.870003, 68.419998]","[66.57, 67.220001, 68.690002, 67.970001, 69.029999]","[65.980003, 66.239998, 67.970001, 67.370003, 68.019997]","[66.309998, 66.559998, 68.150002, 67.709999, 68.93]","[55.813499, 56.02393, 57.362244, 56.99189, 58.01878]","[960600, 1171700, 700000, 1115700, 776000]",1.5985675257614946,0.0666128234959683,0.0148572208836103,0.0090766952611939,0.5469609393624896,0.5447008942527478,0.4300442646173719,1.59669040006948,0.308999899661794,0.148277664267395,0.4189348342051149,0.3831400067227524,0.3148381012142641,1.0
